technology,source,characters,path
replicate,official_documentation,1535,replicate/official_documentation.txt
self_consistency,research_papers,2539,self_consistency/research_papers.txt
self_query_retrieval,github_repository,3698,self_query_retrieval/github_repository.txt
self_query_retrieval,official_documentation,3698,self_query_retrieval/official_documentation.txt
self_rag,github_repository,18012,self_rag/github_repository.txt
self_rag,official_documentation,18012,self_rag/official_documentation.txt
self_rag,research_papers,2889,self_rag/research_papers.txt
semantic_chunking,github_repository,6876,semantic_chunking/github_repository.txt
semantic_chunking,official_documentation,36370,semantic_chunking/official_documentation.txt
sentence_based_chunking,github_repository,6876,sentence_based_chunking/github_repository.txt
sentence_based_chunking,official_documentation,36360,sentence_based_chunking/official_documentation.txt
sentence_transformers,api_reference,57237,sentence_transformers/api_reference.txt
sentence_transformers,benchmark_pages,14106,sentence_transformers/benchmark_pages.txt
sentence_transformers,github_repository,9132,sentence_transformers/github_repository.txt
sentence_transformers,official_documentation,10711,sentence_transformers/official_documentation.txt
sentence_transformers,release_notes,47832,sentence_transformers/release_notes.txt
sentence_transformers,research_papers,2450,sentence_transformers/research_papers.txt
sglang,github_repository,5861,sglang/github_repository.txt
sglang,official_documentation,5861,sglang/official_documentation.txt
sliding_window_chunking,github_repository,6876,sliding_window_chunking/github_repository.txt
sliding_window_chunking,official_documentation,36366,sliding_window_chunking/official_documentation.txt
step_back_prompting,research_papers,2335,step_back_prompting/research_papers.txt
token_based_chunking,github_repository,3698,token_based_chunking/github_repository.txt
token_based_chunking,official_documentation,3698,token_based_chunking/official_documentation.txt
tree_of_thoughts_tot,github_repository,3829,tree_of_thoughts_tot/github_repository.txt
tree_of_thoughts_tot,research_papers,2858,tree_of_thoughts_tot/research_papers.txt
trl,github_repository,5483,trl/github_repository.txt
trl,official_documentation,2646,trl/official_documentation.txt
trulens,github_repository,4655,trulens/github_repository.txt
trulens,official_documentation,4655,trulens/official_documentation.txt
unsloth,github_repository,17706,unsloth/github_repository.txt
unsloth,official_documentation,17706,unsloth/official_documentation.txt
vercel,official_documentation,4299,vercel/official_documentation.txt
vercel_edge_functions,official_documentation,4080,vercel_edge_functions/official_documentation.txt
vertex_ai,official_documentation,4972,vertex_ai/official_documentation.txt
vllm,github_repository,3714,vllm/github_repository.txt
vllm,official_documentation,3008,vllm/official_documentation.txt
weaviate,api_reference,2187,weaviate/api_reference.txt
weaviate,benchmark_pages,351,weaviate/benchmark_pages.txt
weaviate,community_resources,1394,weaviate/community_resources.txt
weaviate,github_repository,7503,weaviate/github_repository.txt
weaviate,official_documentation,3979,weaviate/official_documentation.txt
weaviate,release_notes,28372,weaviate/release_notes.txt
weaviate,technical_blog,291,weaviate/technical_blog.txt
weights_biases,github_repository,3637,weights_biases/github_repository.txt
weights_biases,official_documentation,285,weights_biases/official_documentation.txt
zero_shot_prompting,research_papers,2535,zero_shot_prompting/research_papers.txt
